"Binomial"
"Dasyurus geoffroii"
"Trachypithecus crepusculus"
"Tarsius tumpara"
"Inia geoffrensis"
"Sylvilagus daulensis"
"Microcebus rufus"
"Dendrolagus notatus"
"Tarsius fuscus"
"Notoryctes typhlops"
"Perodicticus ibeanus"
"Lepilemur dorsalis"
"Crocidura maurisca"
"Pusa sibirica"
"Hemiechinus auritus"
"Tupaia ferruginea"
"Hydropotes inermis"
"Hippopotamus lemerlei"
"Pseudantechinus bilarni"
"Rhinopithecus roxellana"
"Myosorex jejei"
"Antechinus leo"
"Marmosa germana"
"Dasypus sabanicola"
"Tupaia javanica"
"Philander opossum"
"Spilocuscus papuensis"
"Naemorhedus baileyi"
"Ovis vignei"
"Bassaricyon medius"
"Tupaia belangeri"
"Arctictis binturong"
"Cacajao rubicundus"
"Mellivora capensis"
"Uropsilus dabieshanensis"
"Crocidura desperata"
"Poecilictis libyca"
"Marmosops incanus"
"Lipotes vexillifer"
"Sorex mediopua"
"Galidictis fasciata"
"Madoqua cavendishi"
"Equus caballus"
"Equus asinus"
"Hippotragus leucophaeus"
"Parascalops breweri"
"Antechinus vandycki"
"Saguinus leucogenys"
"Sylvilagus tapetillus"
"Chimarrogale platycephala"
