order_id,mainCommonName,scientific_name,otherCommonNames,Search,
397,Black-tufted-ear Marmoset,Callithrix penicillata,Black-penciled Marmoset|Black-tufted Marmoset,"Black-penciled Marmoset"" OR ""Black-tufted Marmoset","""Black-tufted-ear Marmoset"" OR ""Callithrix penicillata"" OR ""Black-penciled Marmoset"" OR ""Black-tufted Marmoset"""
398,Northern Olingo,Bassaricyon gabbii,NA,NA,"""Northern Olingo"" OR ""Bassaricyon gabbii"""
399,Goldman's Broad-clawed Shrew,Cryptotis goldmani,Goldman's Shrew|Goldman's Small-eared Shrew,"Goldman's Shrew"" OR ""Goldman's Small-eared Shrew","""Goldman's Broad-clawed Shrew"" OR ""Cryptotis goldmani"" OR ""Goldman's Shrew"" OR ""Goldman's Small-eared Shrew"""
400,Large Hairy Armadillo,Chaetophractus villosus,Big Hairy Armadillo|Greater Hairy Armadillo,"Big Hairy Armadillo"" OR ""Greater Hairy Armadillo","""Large Hairy Armadillo"" OR ""Chaetophractus villosus"" OR ""Big Hairy Armadillo"" OR ""Greater Hairy Armadillo"""
401,Tama Small-eared Shrew,Cryptotis tamensis,Tama Shrew,Tama Shrew,"""Tama Small-eared Shrew"" OR ""Cryptotis tamensis"" OR ""Tama Shrew"""
402,Little Long-tailed Dunnart,Sminthopsis dolichura,NA,NA,"""Little Long-tailed Dunnart"" OR ""Sminthopsis dolichura"""
403,Sun Bear,Helarctos malayanus,Malayan Sun Bear|Dog Bear|Honey Bear,"Malayan Sun Bear"" OR ""Dog Bear"" OR ""Honey Bear","""Sun Bear"" OR ""Helarctos malayanus"" OR ""Malayan Sun Bear"" OR ""Dog Bear"" OR ""Honey Bear"""
404,North American River Otter,Lontra canadensis,River Otter,River Otter,"""North American River Otter"" OR ""Lontra canadensis"" OR ""River Otter"""
405,Alleghanian Spotted Skunk,Spilogale putorius,Eastern Spotted Skunk,Eastern Spotted Skunk,"""Alleghanian Spotted Skunk"" OR ""Spilogale putorius"" OR ""Eastern Spotted Skunk"""
406,Gansu Pika,Ochotona cansus,Gray Pika,Gray Pika,"""Gansu Pika"" OR ""Ochotona cansus"" OR ""Gray Pika"""
407,Big Mexican Small-eared Shrew,Cryptotis magnus,Big Small-eared Shrew|Big Mexican Shrew,"Big Small-eared Shrew"" OR ""Big Mexican Shrew","""Big Mexican Small-eared Shrew"" OR ""Cryptotis magnus"" OR ""Big Small-eared Shrew"" OR ""Big Mexican Shrew"""
408,Moose,Alces alces,Elk|Eurasian Elk|Caucasian Moose,"Elk"" OR ""Eurasian Elk"" OR ""Caucasian Moose","""Moose"" OR ""Alces alces"" OR ""Elk"" OR ""Eurasian Elk"" OR ""Caucasian Moose"""
409,Dark Mexican Broad-clawed Shrew,Cryptotis griseoventris,Dark Mexican Shrew,Dark Mexican Shrew,"""Dark Mexican Broad-clawed Shrew"" OR ""Cryptotis griseoventris"" OR ""Dark Mexican Shrew"""
410,Yellow-throated Marten,Martes flavigula,NA,NA,"""Yellow-throated Marten"" OR ""Martes flavigula"""
411,Sclater's Shrew,Sorex sclateri,NA,NA,"""Sclater's Shrew"" OR ""Sorex sclateri"""
412,Roosevelts' Muntjac,Muntiacus rooseveltorum,NA,NA,"""Roosevelts' Muntjac"" OR ""Muntiacus rooseveltorum"""
413,Web-footed Tenrec,Microgale mergulus,Aquatic Tenrec|Otter Shrew,"Aquatic Tenrec"" OR ""Otter Shrew","""Web-footed Tenrec"" OR ""Microgale mergulus"" OR ""Aquatic Tenrec"" OR ""Otter Shrew"""
414,Bright's Gazelle,Nanger notatus,NA,NA,"""Bright's Gazelle"" OR ""Nanger notatus"""
415,Bangka Slow Loris,Nycticebus bancanus,NA,NA,"""Bangka Slow Loris"" OR ""Nycticebus bancanus"""
416,Kiang,Equus kiang,Tibetan Wild Ass|Eastern Kiang|Southern Kiang|Western Kiang,"Tibetan Wild Ass"" OR ""Eastern Kiang"" OR ""Southern Kiang"" OR ""Western Kiang","""Kiang"" OR ""Equus kiang"" OR ""Tibetan Wild Ass"" OR ""Eastern Kiang"" OR ""Southern Kiang"" OR ""Western Kiang"""
417,Onager,Equus hemionus,Asian Wild Ass|Gobi Kulan|Mongolian Kulan|Persian Onager|Syrian Onager,"Asian Wild Ass"" OR ""Gobi Kulan"" OR ""Mongolian Kulan"" OR ""Persian Onager"" OR ""Syrian Onager","""Onager"" OR ""Equus hemionus"" OR ""Asian Wild Ass"" OR ""Gobi Kulan"" OR ""Mongolian Kulan"" OR ""Persian Onager"" OR ""Syrian Onager"""
418,Sunda Leopard Cat,Prionailurus javanensis,NA,NA,"""Sunda Leopard Cat"" OR ""Prionailurus javanensis"""
419,Margay,Leopardus wiedii,NA,NA,"""Margay"" OR ""Leopardus wiedii"""
420,Dusky-footed Sengi,Elephantulus fuscipes,Dusky-footed Elephant-shrew|Uganda Sengi|Uganda Elephant-shrew,"Dusky-footed Elephant-shrew"" OR ""Uganda Sengi"" OR ""Uganda Elephant-shrew","""Dusky-footed Sengi"" OR ""Elephantulus fuscipes"" OR ""Dusky-footed Elephant-shrew"" OR ""Uganda Sengi"" OR ""Uganda Elephant-shrew"""
421,Sowerby's Beaked Whale,Mesoplodon bidens,North Atlantic Beaked Whale|North Sea Beaked Whale,"North Atlantic Beaked Whale"" OR ""North Sea Beaked Whale","""Sowerby's Beaked Whale"" OR ""Mesoplodon bidens"" OR ""North Atlantic Beaked Whale"" OR ""North Sea Beaked Whale"""
422,Australian Sea Lion,Neophoca cinerea,Australian Sealion|Counselor Seal|Hair Seal|White-capped Sea Lion|White-necked Sea Lion,"Australian Sealion"" OR ""Counselor Seal"" OR ""Hair Seal"" OR ""White-capped Sea Lion"" OR ""White-necked Sea Lion","""Australian Sea Lion"" OR ""Neophoca cinerea"" OR ""Australian Sealion"" OR ""Counselor Seal"" OR ""Hair Seal"" OR ""White-capped Sea Lion"" OR ""White-necked Sea Lion"""
423,American Bison,Bos bison,Buffalo|Plains Bison|Wood Bison,"Buffalo"" OR ""Plains Bison"" OR ""Wood Bison","""American Bison"" OR ""Bos bison"" OR ""Buffalo"" OR ""Plains Bison"" OR ""Wood Bison"""
424,Nelson's Small-eared Shrew,Cryptotis nelsoni,Nelson's Shrew,Nelson's Shrew,"""Nelson's Small-eared Shrew"" OR ""Cryptotis nelsoni"" OR ""Nelson's Shrew"""
425,Golden-white Bare-ear Marmoset,Mico leucippe,White Marmoset|Golden-and-white Bare-ear Marmoset,"White Marmoset"" OR ""Golden-and-white Bare-ear Marmoset","""Golden-white Bare-ear Marmoset"" OR ""Mico leucippe"" OR ""White Marmoset"" OR ""Golden-and-white Bare-ear Marmoset"""
426,Large Japanese Mole,Mogera wogura,Japanese Western Mole|Temminck's Mole,"Japanese Western Mole"" OR ""Temminck's Mole","""Large Japanese Mole"" OR ""Mogera wogura"" OR ""Japanese Western Mole"" OR ""Temminck's Mole"""
427,Black-fronted Titi,Callicebus nigrifrons,Black-fronted Titi Monkey|Northern Masked Titi,"Black-fronted Titi Monkey"" OR ""Northern Masked Titi","""Black-fronted Titi"" OR ""Callicebus nigrifrons"" OR ""Black-fronted Titi Monkey"" OR ""Northern Masked Titi"""
428,Marley's Golden Mole,Amblysomus marleyi,NA,NA,"""Marley's Golden Mole"" OR ""Amblysomus marleyi"""
429,Iberian Lynx,Lynx pardinus,Pardel Lynx|Spanish Lynx,"Pardel Lynx"" OR ""Spanish Lynx","""Iberian Lynx"" OR ""Lynx pardinus"" OR ""Pardel Lynx"" OR ""Spanish Lynx"""
430,Ecuadorean Small-eared Shrew,Cryptotis equatoris,Ecuadorian Shrew,Ecuadorian Shrew,"""Ecuadorean Small-eared Shrew"" OR ""Cryptotis equatoris"" OR ""Ecuadorian Shrew"""
431,Ladak Pika,Ochotona ladacensis,NA,NA,"""Ladak Pika"" OR ""Ochotona ladacensis"""
432,Snow Mountain Shrew Mole,Uropsilus nivatus,NA,NA,"""Snow Mountain Shrew Mole"" OR ""Uropsilus nivatus"""
433,African Wildcat,Felis lybica,Desert Cat|Asiatic (Asian) Steppe Wildcat|Indian Desert Cat,"Desert Cat"" OR ""Asiatic (Asian) Steppe Wildcat"" OR ""Indian Desert Cat","""African Wildcat"" OR ""Felis lybica"" OR ""Desert Cat"" OR ""Asiatic (Asian) Steppe Wildcat"" OR ""Indian Desert Cat"""
434,Tailless Tenrec,Tenrec ecaudatus,Common Tenrec,Common Tenrec,"""Tailless Tenrec"" OR ""Tenrec ecaudatus"" OR ""Common Tenrec"""
435,Central American Squirrel Monkey,Saimiri oerstedii,Red-backed Squirrel Monkey|Black-crowned Central American Squirrel Monkey|Gray-crowned Central American Squirrel Monkey,"Red-backed Squirrel Monkey"" OR ""Black-crowned Central American Squirrel Monkey"" OR ""Gray-crowned Central American Squirrel Monkey","""Central American Squirrel Monkey"" OR ""Saimiri oerstedii"" OR ""Red-backed Squirrel Monkey"" OR ""Black-crowned Central American Squirrel Monkey"" OR ""Gray-crowned Central American Squirrel Monkey"""
436,Small Forest Wallaby,Dorcopsulus vanheurni,Lesser Forest Wallaby|Mountain Forest Wallaby|Small Dorcopsis|Small Dorcopsulus,"Lesser Forest Wallaby"" OR ""Mountain Forest Wallaby"" OR ""Small Dorcopsis"" OR ""Small Dorcopsulus","""Small Forest Wallaby"" OR ""Dorcopsulus vanheurni"" OR ""Lesser Forest Wallaby"" OR ""Mountain Forest Wallaby"" OR ""Small Dorcopsis"" OR ""Small Dorcopsulus"""
437,Gayal,Bos frontalis,Domestic Gaur|Mithan,"Domestic Gaur"" OR ""Mithan","""Gayal"" OR ""Bos frontalis"" OR ""Domestic Gaur"" OR ""Mithan"""
438,Jaguar,Panthera onca,NA,NA,"""Jaguar"" OR ""Panthera onca"""
439,Giant Genet,Genetta victoriae,NA,NA,"""Giant Genet"" OR ""Genetta victoriae"""
440,Rhebok,Pelea capreolus,Gray Ribbok|Vaal Rhebuck,"Gray Ribbok"" OR ""Vaal Rhebuck","""Rhebok"" OR ""Pelea capreolus"" OR ""Gray Ribbok"" OR ""Vaal Rhebuck"""
441,Northern Smooth-tailed Treeshrew,Dendrogale murina,Mainland Slender-tailed Treeshrew|Northern Slender-tailed Treeshrew,"Mainland Slender-tailed Treeshrew"" OR ""Northern Slender-tailed Treeshrew","""Northern Smooth-tailed Treeshrew"" OR ""Dendrogale murina"" OR ""Mainland Slender-tailed Treeshrew"" OR ""Northern Slender-tailed Treeshrew"""
442,Gervais's Beaked Whale,Mesoplodon europaeus,European Beaked Whale|Gulf Stream Beaked Whale,"European Beaked Whale"" OR ""Gulf Stream Beaked Whale","""Gervais's Beaked Whale"" OR ""Mesoplodon europaeus"" OR ""European Beaked Whale"" OR ""Gulf Stream Beaked Whale"""
443,Bornean Smooth-tailed Treeshrew,Dendrogale melanura,NA,NA,"""Bornean Smooth-tailed Treeshrew"" OR ""Dendrogale melanura"""
444,Gilbert's Dunnart,Sminthopsis gilberti,NA,NA,"""Gilbert's Dunnart"" OR ""Sminthopsis gilberti"""
445,Prince Bernhard's Titi,Plecturocebus bernhardi,Prince Bernhard's Titi Monkey,Prince Bernhard's Titi Monkey,"""Prince Bernhard's Titi"" OR ""Plecturocebus bernhardi"" OR ""Prince Bernhard's Titi Monkey"""
446,Slender Treeshrew,Tupaia gracilis,NA,NA,"""Slender Treeshrew"" OR ""Tupaia gracilis"""
447,Thylacine,Thylacinus cynocephalus,Hyena Opossum|Marsupial Wolf|Tasmanian Tiger|Tasmanian Wolf|Zebra Wolf,"Hyena Opossum"" OR ""Marsupial Wolf"" OR ""Tasmanian Tiger"" OR ""Tasmanian Wolf"" OR ""Zebra Wolf","""Thylacine"" OR ""Thylacinus cynocephalus"" OR ""Hyena Opossum"" OR ""Marsupial Wolf"" OR ""Tasmanian Tiger"" OR ""Tasmanian Wolf"" OR ""Zebra Wolf"""
448,Grizzled Tree Kangaroo,Dendrolagus inustus,NA,NA,"""Grizzled Tree Kangaroo"" OR ""Dendrolagus inustus"""
449,Giles's Planigale,Planigale gilesi,Paucident Planigale,Paucident Planigale,"""Giles's Planigale"" OR ""Planigale gilesi"" OR ""Paucident Planigale"""
450,Godman's Rock Wallaby,Petrogale godmani,NA,NA,"""Godman's Rock Wallaby"" OR ""Petrogale godmani"""
451,Southern Right-whale Dolphin,Lissodelphis peronii,Mealy-mouthed Porpoise|Peron's Dolphin,"Mealy-mouthed Porpoise"" OR ""Peron's Dolphin","""Southern Right-whale Dolphin"" OR ""Lissodelphis peronii"" OR ""Mealy-mouthed Porpoise"" OR ""Peron's Dolphin"""
452,White-chested Titi,Cheracebus lugens,Black Titi|White-handed Titi|Widow Monkey,"Black Titi"" OR ""White-handed Titi"" OR ""Widow Monkey","""White-chested Titi"" OR ""Cheracebus lugens"" OR ""Black Titi"" OR ""White-handed Titi"" OR ""Widow Monkey"""
453,Iberian Hare,Lepus granatensis,Granada Hare,Granada Hare,"""Iberian Hare"" OR ""Lepus granatensis"" OR ""Granada Hare"""
454,Kuznetsov's Mole,Euroscaptor kuznetsovi,NA,NA,"""Kuznetsov's Mole"" OR ""Euroscaptor kuznetsovi"""
455,Eden's Whale,Balaenoptera edeni,Tropical Whale|Small-form Bryde's Whale|Sittang Whale,"Tropical Whale"" OR ""Small-form Bryde's Whale"" OR ""Sittang Whale","""Eden's Whale"" OR ""Balaenoptera edeni"" OR ""Tropical Whale"" OR ""Small-form Bryde's Whale"" OR ""Sittang Whale"""
456,Mexican Cottontail,Sylvilagus cunicularius,NA,NA,"""Mexican Cottontail"" OR ""Sylvilagus cunicularius"""
457,Wimmer's White-toothed Shrew,Crocidura wimmeri,Wimmer's Shrew,Wimmer's Shrew,"""Wimmer's White-toothed Shrew"" OR ""Crocidura wimmeri"" OR ""Wimmer's Shrew"""
458,Verapaz Shrew,Sorex veraepacis,NA,NA,"""Verapaz Shrew"" OR ""Sorex veraepacis"""
459,Chacma Baboon,Papio ursinus,Mountain Baboon|Gray-footed Chacma Baboon|Namibian Chacma Baboon|Southern Chacma Baboon,"Mountain Baboon"" OR ""Gray-footed Chacma Baboon"" OR ""Namibian Chacma Baboon"" OR ""Southern Chacma Baboon","""Chacma Baboon"" OR ""Papio ursinus"" OR ""Mountain Baboon"" OR ""Gray-footed Chacma Baboon"" OR ""Namibian Chacma Baboon"" OR ""Southern Chacma Baboon"""
460,Rusty Antechinus,Antechinus adustus,Tropical Antechinus,Tropical Antechinus,"""Rusty Antechinus"" OR ""Antechinus adustus"" OR ""Tropical Antechinus"""
461,Burrowing Bettong,Bettongia lesueur,Boodie|Burrowing Rat-kangaroo|Lesueur's Rat-kangaroo,"Boodie"" OR ""Burrowing Rat-kangaroo"" OR ""Lesueur's Rat-kangaroo","""Burrowing Bettong"" OR ""Bettongia lesueur"" OR ""Boodie"" OR ""Burrowing Rat-kangaroo"" OR ""Lesueur's Rat-kangaroo"""
462,Somali White-toothed Shrew,Crocidura somalica,Somali Shrew,Somali Shrew,"""Somali White-toothed Shrew"" OR ""Crocidura somalica"" OR ""Somali Shrew"""
463,Carpentarian Pseudantechinus,Pseudantechinus mimulus,Alexandria False Antechinus|Carpentarian Antechinus,"Alexandria False Antechinus"" OR ""Carpentarian Antechinus","""Carpentarian Pseudantechinus"" OR ""Pseudantechinus mimulus"" OR ""Alexandria False Antechinus"" OR ""Carpentarian Antechinus"""
464,Brazilian Slender Opossum,Marmosops paulensis,São Paulo Slender Mouse Opossum,São Paulo Slender Mouse Opossum,"""Brazilian Slender Opossum"" OR ""Marmosops paulensis"" OR ""São Paulo Slender Mouse Opossum"""
465,Steppe Polecat,Mustela eversmanii,NA,NA,"""Steppe Polecat"" OR ""Mustela eversmanii"""
466,Rainforest Shrew,Sylvisorex pluvialis,NA,NA,"""Rainforest Shrew"" OR ""Sylvisorex pluvialis"""
467,Bicolored African White-toothed Shrew,Crocidura fuscomurina,Bicolored Musk Shrew|Tiny Musk Shrew,"Bicolored Musk Shrew"" OR ""Tiny Musk Shrew","""Bicolored African White-toothed Shrew"" OR ""Crocidura fuscomurina"" OR ""Bicolored Musk Shrew"" OR ""Tiny Musk Shrew"""
468,Clara's Echymipera,Echymipera clara,Clara's Bandicoot|White-lipped Bandicoot,"Clara's Bandicoot"" OR ""White-lipped Bandicoot","""Clara's Echymipera"" OR ""Echymipera clara"" OR ""Clara's Bandicoot"" OR ""White-lipped Bandicoot"""
469,Giant Panda,Ailuropoda melanoleuca,Da Xiong Mao,Da Xiong Mao,"""Giant Panda"" OR ""Ailuropoda melanoleuca"" OR ""Da Xiong Mao"""
470,Yunnan Hare,Lepus comus,NA,NA,"""Yunnan Hare"" OR ""Lepus comus"""
471,Clymene Dolphin,Stenella clymene,Atlantic Spinner Dolphin|Helmet Dolphin|Senegal Dolphin|Short-snouted Spinner Dolphin,"Atlantic Spinner Dolphin"" OR ""Helmet Dolphin"" OR ""Senegal Dolphin"" OR ""Short-snouted Spinner Dolphin","""Clymene Dolphin"" OR ""Stenella clymene"" OR ""Atlantic Spinner Dolphin"" OR ""Helmet Dolphin"" OR ""Senegal Dolphin"" OR ""Short-snouted Spinner Dolphin"""
472,Large Indian Civet,Viverra zibetha,NA,NA,"""Large Indian Civet"" OR ""Viverra zibetha"""
473,Allen's Swamp Monkey,Allenopithecus nigroviridis,Swamp Guenon|Swamp Monkey,"Swamp Guenon"" OR ""Swamp Monkey","""Allen's Swamp Monkey"" OR ""Allenopithecus nigroviridis"" OR ""Swamp Guenon"" OR ""Swamp Monkey"""
474,Kalinowski's Opossum,Hyladelphys kalinowskii,Kalinowski's Mouse Opossum|Peru Gracile Mouse Opossum,"Kalinowski's Mouse Opossum"" OR ""Peru Gracile Mouse Opossum","""Kalinowski's Opossum"" OR ""Hyladelphys kalinowskii"" OR ""Kalinowski's Mouse Opossum"" OR ""Peru Gracile Mouse Opossum"""
475,Flat-headed Cat,Prionailurus planiceps,NA,NA,"""Flat-headed Cat"" OR ""Prionailurus planiceps"""
476,Fischer's White-toothed Shrew,Crocidura fischeri,Fischer's Shrew,Fischer's Shrew,"""Fischer's White-toothed Shrew"" OR ""Crocidura fischeri"" OR ""Fischer's Shrew"""
477,Common Raccoon Dog,Nyctereutes procyonoides,Chinese Raccoon Dog|Raccoon Dog,"Chinese Raccoon Dog"" OR ""Raccoon Dog","""Common Raccoon Dog"" OR ""Nyctereutes procyonoides"" OR ""Chinese Raccoon Dog"" OR ""Raccoon Dog"""
478,Eastern Hare Wallaby,Lagorchestes leporides,Brown Hare-wallaby|Common Hare-wallaby|Dancing-hare|Hare-kangaroo,"Brown Hare-wallaby"" OR ""Common Hare-wallaby"" OR ""Dancing-hare"" OR ""Hare-kangaroo","""Eastern Hare Wallaby"" OR ""Lagorchestes leporides"" OR ""Brown Hare-wallaby"" OR ""Common Hare-wallaby"" OR ""Dancing-hare"" OR ""Hare-kangaroo"""
479,Stephen Nash's Titi,Plecturocebus stephennashi,Stephen Nash's Titi Monkey,Stephen Nash's Titi Monkey,"""Stephen Nash's Titi"" OR ""Plecturocebus stephennashi"" OR ""Stephen Nash's Titi Monkey"""
480,Preuss's Red Colobus,Piliocolobus preussi,NA,NA,"""Preuss's Red Colobus"" OR ""Piliocolobus preussi"""
481,Peruvian Woolly Mouse Opossum,Marmosa parda,NA,NA,"""Peruvian Woolly Mouse Opossum"" OR ""Marmosa parda"""
482,Javan Deer,Rusa timorensis,Maned Sambar|Rusa Deer|Sunda Sambar|Timor Deer,"Maned Sambar"" OR ""Rusa Deer"" OR ""Sunda Sambar"" OR ""Timor Deer","""Javan Deer"" OR ""Rusa timorensis"" OR ""Maned Sambar"" OR ""Rusa Deer"" OR ""Sunda Sambar"" OR ""Timor Deer"""
483,Walrus,Odobenus rosmarus,Atlantic Walrus|Laptev Walrus|Pacific Walrus,"Atlantic Walrus"" OR ""Laptev Walrus"" OR ""Pacific Walrus","""Walrus"" OR ""Odobenus rosmarus"" OR ""Atlantic Walrus"" OR ""Laptev Walrus"" OR ""Pacific Walrus"""
484,Bridled Nail-tailed Wallaby,Onychogalea frenata,Bridled Wallaby|Flashjack|Merrin|Waistcoat Wallaby,"Bridled Wallaby"" OR ""Flashjack"" OR ""Merrin"" OR ""Waistcoat Wallaby","""Bridled Nail-tailed Wallaby"" OR ""Onychogalea frenata"" OR ""Bridled Wallaby"" OR ""Flashjack"" OR ""Merrin"" OR ""Waistcoat Wallaby"""
485,Southern Oncilla,Leopardus guttulus,Southern Tigrina|Southern Tiger Cat,"Southern Tigrina"" OR ""Southern Tiger Cat","""Southern Oncilla"" OR ""Leopardus guttulus"" OR ""Southern Tigrina"" OR ""Southern Tiger Cat"""
486,Ward's Striped Shrew,Sorex wardi,NA,NA,"""Ward's Striped Shrew"" OR ""Sorex wardi"""
487,Pere David's Deer,Elaphurus davidianus,Milu,Milu,"""Pere David's Deer"" OR ""Elaphurus davidianus"" OR ""Milu"""
488,Ankarana Sportive Lemur,Lepilemur ankaranensis,Ankarana Weasel Lemur,Ankarana Weasel Lemur,"""Ankarana Sportive Lemur"" OR ""Lepilemur ankaranensis"" OR ""Ankarana Weasel Lemur"""
489,Ogilby's Duiker,Cephalophorus ogilbyi,White-legged Duiker,White-legged Duiker,"""Ogilby's Duiker"" OR ""Cephalophorus ogilbyi"" OR ""White-legged Duiker"""
490,Stripe-faced Dunnart,Sminthopsis macroura,Darling Downs Dunnart|Froggatt's Sminthopsis|Larapinta|Stripe-headed Sminthopsis,"Darling Downs Dunnart"" OR ""Froggatt's Sminthopsis"" OR ""Larapinta"" OR ""Stripe-headed Sminthopsis","""Stripe-faced Dunnart"" OR ""Sminthopsis macroura"" OR ""Darling Downs Dunnart"" OR ""Froggatt's Sminthopsis"" OR ""Larapinta"" OR ""Stripe-headed Sminthopsis"""
491,White-footed Sportive Lemur,Lepilemur leucopus,White-footed Weasel Lemur,White-footed Weasel Lemur,"""White-footed Sportive Lemur"" OR ""Lepilemur leucopus"" OR ""White-footed Weasel Lemur"""
492,Kanamari White Uacari,Cacajao amuna,Kanamari White Uakari,Kanamari White Uakari,"""Kanamari White Uacari"" OR ""Cacajao amuna"" OR ""Kanamari White Uakari"""
493,Least Beaked Whale,Berardius minimus,NA,NA,"""Least Beaked Whale"" OR ""Berardius minimus"""
494,South-west Peninsula White-toothed Shrew,Crocidura australis,NA,NA,"""South-west Peninsula White-toothed Shrew"" OR ""Crocidura australis"""
495,Annamese Langur,Trachypithecus margarita,Annamese Silvered Langur|Elliot's Lutung,"Annamese Silvered Langur"" OR ""Elliot's Lutung","""Annamese Langur"" OR ""Trachypithecus margarita"" OR ""Annamese Silvered Langur"" OR ""Elliot's Lutung"""
496,Rondon's Marmoset,Mico rondoni,NA,NA,"""Rondon's Marmoset"" OR ""Mico rondoni"""
497,Southern Hairy-nosed Wombat,Lasiorhinus latifrons,Broad-fronted Wombat|Long-eared Wombat|Plains Wombat|Soft-furred Wombat,"Broad-fronted Wombat"" OR ""Long-eared Wombat"" OR ""Plains Wombat"" OR ""Soft-furred Wombat","""Southern Hairy-nosed Wombat"" OR ""Lasiorhinus latifrons"" OR ""Broad-fronted Wombat"" OR ""Long-eared Wombat"" OR ""Plains Wombat"" OR ""Soft-furred Wombat"""
498,Short-eared Rock Wallaby,Petrogale brachyotis,Brush-tailed Rock Wallaby|Western Short-eared Rock Wallaby,"Brush-tailed Rock Wallaby"" OR ""Western Short-eared Rock Wallaby","""Short-eared Rock Wallaby"" OR ""Petrogale brachyotis"" OR ""Brush-tailed Rock Wallaby"" OR ""Western Short-eared Rock Wallaby"""
499,Cuc Phuong Ferret-badger,Melogale cucphuongensis,Vietnam Ferret-badger,Vietnam Ferret-badger,"""Cuc Phuong Ferret-badger"" OR ""Melogale cucphuongensis"" OR ""Vietnam Ferret-badger"""
500,Shepherd's Beaked Whale,Tasmacetus shepherdi,Tasman Beaked Whale|Tasman Whale|Tasmanian Beaked Whale,"Tasman Beaked Whale"" OR ""Tasman Whale"" OR ""Tasmanian Beaked Whale","""Shepherd's Beaked Whale"" OR ""Tasmacetus shepherdi"" OR ""Tasman Beaked Whale"" OR ""Tasman Whale"" OR ""Tasmanian Beaked Whale"""
501,Angolan Dwarf Galago,Galagoides kumbirensis,NA,NA,"""Angolan Dwarf Galago"" OR ""Galagoides kumbirensis"""
502,Leopard,Panthera pardus,Panther,Panther,"""Leopard"" OR ""Panthera pardus"" OR ""Panther"""
503,Patagonian Weasel,Lyncodon patagonicus,NA,NA,"""Patagonian Weasel"" OR ""Lyncodon patagonicus"""
504,Masked Titi,Callicebus personatus,Atlantic Titi|Black-fronted Titi|Northern Masked Titi,"Atlantic Titi"" OR ""Black-fronted Titi"" OR ""Northern Masked Titi","""Masked Titi"" OR ""Callicebus personatus"" OR ""Atlantic Titi"" OR ""Black-fronted Titi"" OR ""Northern Masked Titi"""
505,Peters's Mouse Lemur,Microcebus myoxinus,Pygmy Mouse Lemur,Pygmy Mouse Lemur,"""Peters's Mouse Lemur"" OR ""Microcebus myoxinus"" OR ""Pygmy Mouse Lemur"""
506,Red-capped Mangabey,Cercocebus torquatus,Collared Mangabey|White-collared Mangabey,"Collared Mangabey"" OR ""White-collared Mangabey","""Red-capped Mangabey"" OR ""Cercocebus torquatus"" OR ""Collared Mangabey"" OR ""White-collared Mangabey"""
507,American Badger,Taxidea taxus,NA,NA,"""American Badger"" OR ""Taxidea taxus"""
508,Dsinezumi White-toothed Shrew,Crocidura dsinezumi,Dsinezumi Shrew|Japanese White-toothed Shrew,"Dsinezumi Shrew"" OR ""Japanese White-toothed Shrew","""Dsinezumi White-toothed Shrew"" OR ""Crocidura dsinezumi"" OR ""Dsinezumi Shrew"" OR ""Japanese White-toothed Shrew"""
509,Javan Chevrotain,Tragulus javanicus,NA,NA,"""Javan Chevrotain"" OR ""Tragulus javanicus"""
510,Atlantic Humpback Dolphin,Sousa teuszii,Atlantic Humpbacked Dolphin|Teusz's Dolphin,"Atlantic Humpbacked Dolphin"" OR ""Teusz's Dolphin","""Atlantic Humpback Dolphin"" OR ""Sousa teuszii"" OR ""Atlantic Humpbacked Dolphin"" OR ""Teusz's Dolphin"""
511,Argentinean Warrah,Dusicyon avus,NA,NA,"""Argentinean Warrah"" OR ""Dusicyon avus"""
512,Lowe's Brown-toothed Shrew,Chodsigoa parca,Lowe's Shrew,Lowe's Shrew,"""Lowe's Brown-toothed Shrew"" OR ""Chodsigoa parca"" OR ""Lowe's Shrew"""
513,Tiny Sulawesi White-toothed Shrew,Crocidura parva,NA,NA,"""Tiny Sulawesi White-toothed Shrew"" OR ""Crocidura parva"""
514,Desert Hedgehog,Paraechinus aethiopicus,Ethiopian Hedgehog,Ethiopian Hedgehog,"""Desert Hedgehog"" OR ""Paraechinus aethiopicus"" OR ""Ethiopian Hedgehog"""
515,Duthie's Golden Mole,Chlorotalpa duthieae,NA,NA,"""Duthie's Golden Mole"" OR ""Chlorotalpa duthieae"""
516,Chinese Hare,Lepus sinensis,NA,NA,"""Chinese Hare"" OR ""Lepus sinensis"""
517,Ecuadorian Squirrel Monkey,Saimiri macrodon,NA,NA,"""Ecuadorian Squirrel Monkey"" OR ""Saimiri macrodon"""
518,Etruscan Shrew,Suncus etruscus,Common Dwarf Shrew|Etruscan Dwarf Shrew|Pygmy White-toothed Shrew|Savi's Pygmy Shrew,"Common Dwarf Shrew"" OR ""Etruscan Dwarf Shrew"" OR ""Pygmy White-toothed Shrew"" OR ""Savi's Pygmy Shrew","""Etruscan Shrew"" OR ""Suncus etruscus"" OR ""Common Dwarf Shrew"" OR ""Etruscan Dwarf Shrew"" OR ""Pygmy White-toothed Shrew"" OR ""Savi's Pygmy Shrew"""
519,Berlandier's Least Shrew,Cryptotis berlandieri,Berlandier's Shrew,Berlandier's Shrew,"""Berlandier's Least Shrew"" OR ""Cryptotis berlandieri"" OR ""Berlandier's Shrew"""
